tconst,cinemeta_title,cinemeta_directors,cinemeta_writers
tt0028145,Public Nuisance No. 1,Marcel Varnel,Franz Arnold (story); Roger Burford; Robert Edmunds; Val Guest
tt0028158,Ramona,Henry King,Helen Hunt Jackson (novel); Lamar Trotti (screenplay)
tt0028501,White Fang,David Butler,Jack London; Gene Fowler; Sam Duncan
tt0028534,Who Loves Me?,José Luis Sáenz de Heredia,\N
tt0028873,The Firefly,Robert Z. Leonard,Frances Goodrich; Albert Hackett; Otto A. Harbach
tt0029157,"Live, Love and Learn",George Fitzmaurice,Charles Brackett (screenplay); Cyril Hume (screenplay); Richard Maibaum (screenplay); Marion Parsonnet (original story); Helen Grace Carlisle (suggested by a story by)
tt0029280,Mutiny on the Elsinore,Roy Lockwood,Jack London (novel); Roy Lockwood (adaptation); Roy Lockwood (screenplay); Beaufoy Milton (dialogue)
tt0029380,Partners in Crime,Ralph Murphy,Kurt Steel (novel); Gladys Unger; Garnett Weston
tt0029482,Rhythm in the Clouds,John H. Auer,Olive Cooper (screenplay); Nathanael West (screenplay); George Mence (story); Ray Bond (story)
tt0029519,Said O'Reilly to McNab,William Beaudine,\N
tt0029764,When's Your Birthday?,Harry Beaumont,Harry Clork (screenplay); John Frederick Ballard (from a play by); Harvey Gates (adaptation); Malcolm Stuart Boylan (adaptation); Samuel M. Pyke (adaptation)
tt0030142,Flirting with Fate,Frank McDonald,Daniel Jarrett (original story); A. Dorian Otvos (original story); Joseph Moncure March (screenplay); Charlie Melson (screenplay); Ethel La Blanche (screenplay); Harry Clork (screenplay)
tt0030325,Die kleine und die gro�e Liebe,Josef von B�ky,Heinrich Oberl�nder
tt0030384,Lord Jeff,Sam Wood,Bradford Ropes; Endre Bohem; Val Burton
tt0030479,My Bill,John Farrow,Vincent Sherman; Robertson White; Tom Barry
tt0030516,Obras de Arte,Jos� Cottinelli Telmo,\N
tt0030579,Die Pfingstorgel,Franz Seitz,\N
tt0030704,Rykmentin murheenkryyni,Yrj� Norta; T.J. S�rkk�,Toivo Kauppinen; T.J. S�rkk�
tt0030841,10th Ave Kid,Bernard Vorhaus,Gordon Kahn (screenplay); Gordon Kahn (original story); Adele Buffington (original story)
tt0030906,L'ultima carta,Piero Ballerini,Piero Ballerini; Giuseppe Guarino; Giuseppe Romualdi
