tconst,omdb_title,omdb_directors,omdb_writers
tt0039310,The Last Vacation,Roger Leenhardt,Roger Leenhardt; Maurice Junod; Roger Breuil
tt0039527,Kein Platz für Liebe,Hans Deppe,Hans Deppe; Margarete Hackebeil; Wolfgang W. Parth
tt0039816,Seven Were Saved,William H. Pine,Maxwell Shane; Julian Harmon
tt0039951,Variety Girl,George Marshall,Monte Brice; William Cottrell; Edmund L. Hartmann
tt0039959,Vigilantes of Boomtown,R.G. Springsteen,Earle Snell; Fred Harman
tt0040074,Adventures in Silverado,Phil Karlson,Kenneth Gamet; Tom Kilpatrick; Jo Pagano
tt0040105,The Original Sin,Helmut Käutner,Kurd E. Heyne; Helmut Käutner; Bobby Todd
tt0040326,La esfinge maragata,Antonio de Obregón,Concha Espina; Selma Barberi; José Luis Gamboa
tt0040410,Gunning for Justice,Ray Taylor,J. Benton Cheney
tt0040444,Hollow Triumph,Steve Sekely; Paul Henreid,Daniel Fuchs; Murray Forbes
tt0040746,Rope,Alfred Hitchcock,Hume Cronyn; Patrick Hamilton; Arthur Laurents
tt0040903,Triggerman,Howard Bretherton,Ronald Davidson
tt0041296,Dick Barton Strikes Back,Godfrey Grayson,Elizabeth Baron; Ambrose Grayson
tt0041392,Frontier Investigator,Fred C. Brannon,Robert Creighton Williams
tt0041626,Temptations,Oswald Mitchell,John Gilling
tt0041764,La posesión,Julio Bracho,María Luisa Algarra; Julio Bracho; José López Portillo y Rojas
tt0042255,Captain Blackjack,Julien Duvivier; José Antonio Nieves Conde,Julien Duvivier; Robert Gaillard; Robert Gaillard
tt0042478,The Franchise Affair,Lawrence Huntington,Robert Hall; Lawrence Huntington; Josephine Tey
tt0042482,Frenchie,Louis King,Oscar Brodney
tt0042992,Square Dance Katy,Jean Yarbrough,Warren Wilson
tt0043021,Séraphin,Paul Gury,Claude-Henri Grignon; Paul Gury
tt0043515,The Strange Case of the Man and the Beast,Mario Soffici,Carlos Marín; Ulises Petit de Murat; Mario Soffici
tt0043708,The Kid from Amarillo,Ray Nazarro,Barry Shipman
tt0044043,Skipalong Rosenbloom,Sam Newfield,Eddie Forman; Dean Riesner
tt0044147,Trotacalles,Matilde Landeta,José Aguila; Matilde Landeta; Luis Spota
tt0044210,Whirlwind,John English,Norman S. Hall
tt0044569,Du bist die Rose vom Wörthersee,Hubert Marischka,Hubert Marischka; Richard Österreicher; Rudolf Österreicher
tt0044582,The Firebird,Hasse Ekman,Hasse Ekman
tt0044814,Kærlighedsdoktoren,Asbjørn Andersen,Helge Kjærulff-Schmidt
tt0044848,Lockende Sterne,Hans Müller,Otto-Heinz Jahn
tt0044852,Love Is Better Than Ever,Stanley Donen,Ruth Brooks Flippen
tt0044928,Mr. Denning Drives North,Anthony Kimmins,Alec Coppel
tt0044966,Night Stage to Galveston,George Archainbaud,Norman S. Hall
tt0045354,"¡Che, qué loco!",Ramón Torrado,Ramón Torrado; Víctor López Iglesias; Francisco Ramos de Castro
tt0045525,Before the Deluge,André Cayatte,André Cayatte; Charles Spaak
tt0045595,The Bandit,Lima Barreto,Lima Barreto; Rachel de Queiroz
tt0045834,Gran comora,Antonio Nediani,\N
tt0045873,The Milkmaid,T.J. Särkkä,Johannes Linnankoski; Juha Nevalainen
tt0046161,Paratrooper,Terence Young,Richard Maibaum; Frank S. Nugent; Sy Bartlett
tt0046322,Siren of Bagdad,Richard Quine,Robert E. Kent; Larry Rhine
tt0046369,Stepnye zori,Lev Saakov,Boris Bednyj
tt0046394,Tagebuch einer Verliebten,Josef von Báky,Emil Burri; K.P. Gillmann; Dina Melken
tt0046429,The Adultress,Marcel Carné,Émile Zola; Marcel Carné; Charles Spaak
tt0046467,Der träumende Mund,Josef von Báky,Henri Bernstein; Paul Czinner; Carl Mayer
tt0046492,The Vanquished,Edward Ludwig,Karl Brown; Lewis R. Foster; Winston Miller
tt0047054,Die große Starparade,Paul Martin,Ernst Neubach; Franz Tanzler
tt0047267,Napoli terra d'amore,Camillo Mastrocinque,Giovanni Addessi; Nando Barbieri; Mario Brancacci
tt0047673,White Christmas,Michael Curtiz,Norman Krasna; Norman Panama; Melvin Frank
tt0048006,Beautiful But Dangerous,Robert Z. Leonard,Giuseppe Cavagna; Liana Ferri; Frank Gervasi
tt0048082,Flickan i regnet,Alf Kjellin,Sune Stigsjöö; Volodja Semitjov; Alf Kjellin
tt0048212,Io piaccio,Giorgio Bianchi,Marcello Marchesi; Vittorio Metz
tt0048284,Zemlya,Amvrosi Buchma; Aleksei Shvachko,Olga Kobylyanskaya; Aleksei Shvachko
tt0048779,La vena d'oro,Mauro Bolognini,Mauro Bolognini; Gino De Santis; Jacques Rémy
tt0049018,Women Without Men,Elmo Williams; Bert Glazer,Val Guest; Richard H. Landau
tt0049149,Dolgiy put,Leonid Gaidai; Valentin Nevzorov,Vladimir Korolenko; Boris Brodskiy; Mikhail Romm
tt0049158,"Dort oben, wo die Alpen glühen",Otto Meyer,Theodor Ottawa
tt0049392,K. und k. Feldmarschall,E.W. Emo,August Rieger; Hugo Wiener
tt0049431,The Last Frontier,Anthony Mann,Philip Yordan; Russell S. Hughes; Richard Emery Roberts
tt0049465,Malagueña,Ricardo Núñez,Nené Cascallar; Ricardo Núñez; Sebastián Rives
tt0049603,Raznye sudby,Leonid Lukov,Leonid Lukov; Yakov Smolyak
tt0049775,Solange noch die Rosen blüh'n,Hans Deppe,Helga von Wangenheim-Haeussler; Hans Fritz Köllner; J. Joachim Bartsch
tt0049864,Tosca,Carmine Gallone,Giuseppe Giacosa; Luigi Illica; Victorien Sardou
tt0049961,A Woman's Devotion,Paul Henreid,Robert Hill
tt0050155,Baby Face Nelson,Don Siegel,Robert Adler; Daniel Mainwaring; Irving Shulman
tt0050296,Decision at Sundown,Budd Boetticher,Charles Lang; Vernon L. Fluharty
tt0050302,The Delinquents,Robert Altman,Robert Altman
tt0050583,Jägerblut,Hans H. König,Johannes Kai
tt0050723,Monster from Green Hell,Kenneth G. Crane,Louis Vittes; Endre Bohem
tt0050778,Not of This Earth,Roger Corman,Charles B. Griffith; Mark Hanna
tt0050816,Panama Sal,William Witney,Arnold Belgard
tt0050934,Strange Affection,Wolf Rilla,Charlotte Hastings; Wolf Rilla
tt0050980,Skola otcu,Ladislav Helge,Ladislav Helge; Ivan Kríz
tt0050992,La sombra del otro,Gilberto Martínez Solares,María Luisa Algarra; Francisco Javier Camargo; Josefina Vicens
tt0051199,Die Winzerin von Langenlois,Hans H. König,A.N. Schneider; Johannes Kai; Werner Eplinius
