tconst,omdb_title,omdb_directors,omdb_writers
tt0137955,Miljoonaliiga,Maunu Kurkvaara,Maunu Kurkvaara; Jarkko Virta
tt0138074,Santa and the Ice Cream Bunny,Richard Winer; Barry Mahon,Hans Christian Andersen; Richard Winer
tt0138477,Die große Unbekannte,Willi Wolff,Paul Merzbach; Willi Wolff
tt0138681,The Opportunists,Myles Connell,Myles Connell
tt0138689,Paging Emma,Roberto Busó-García,Roberto Busó-García
tt0138725,Il professor Matusa e i suoi hippies,Carlo Martinelli,Loretta Bernabei; Carlo Martinelli
tt0138734,A Report,Maunu Kurkvaara,Maunu Kurkvaara; Heikki Ritavuori
tt0139398,Kaajal,Ram Maheshwari,Phani Majumdar; Gulshan Nanda; Kidar Nath Sharma
tt0139571,Ringende Menschen. Die Tragödie einer Familie,Gertrud David,N/A
tt0139654,Training Day,Antoine Fuqua,David Ayer
tt0139809,The Thirteenth Floor,Josef Rusnak,Daniel F. Galouye; Josef Rusnak; Ravel Centeno-Rodriguez
tt0140110,Head Nurse,Tim Davies,N/A
tt0140308,Keine Angst vor Schwiegermüttern,Erich Engels,Erich Engels; Hans Wolff
tt0140347,Mahalia Jackson: The Power and the Glory,Jeff Scheftel,Michael Singh
tt0140670,Vaihdokas,Teuvo Puro,Selma Anttila; Karl Fager
tt0140811,Antti Puuhaara,Katariina Lahti; Heikki Partanen; Riitta Rautoma,Katariina Lahti; Erkki Mäkinen; Heikki Partanen
tt0140876,Canine Space Travellers,Nikolai Tikhonov,Pyotr Isakov
tt0141236,House of the Rising Moon,N/A,N/A
tt0141343,Gli inaffidabili,Jerry Calà,Jerry Calà; Gino Capone
tt0141413,Jacqueline,David DeCoteau,N/A
tt0141529,The Tent Show,Carlos Avila,Carlos Avila; Edit Villarreal
tt0141634,Mysteries of Paris,Albert Capellani,Albert Capellani; Eugène Sue
tt0141874,Passion,György Fehér,James M. Cain; György Fehér; Béla Tarr
tt0142288,La fille du pêcheur,Robert Péguy,N/A
tt0143437,"Charlotte, mouille ta culotte",Francis Leroi,Francis Leroi
tt0143520,Lust with the Stranger,Vinnie Rossi,N/A
tt0143737,Mitzi's Honor,Fred J. Lincoln,E. Peter Regis
tt0144117,The Boondock Saints,Troy Duffy,Troy Duffy
tt0144442,Naughty Schoolgirls Revenge,George Harrison Marks,N/A
tt0144608,Sinbad: Beyond the Veil of Mists,Alan Jacobs; Evan Ricks,Jeff Wolverton; Gregory Davis; Robert Jay Litz
tt0144778,Ava & Gabriel - Un historia di amor,Felix de Rooy,Felix de Rooy; Norman de Palm
tt0144933,Found Guilty,N/A,N/A
tt0145254,Out of Phoenix Bridge,Hong Li,N/A
tt0145814,Heaven Sent,Craig Clyde,Craig Clyde; James Hennessy
tt0146237,Restless Passion,Hal Freeman,N/A
tt0146281,Sofo Shel Milton Levy,Nissim Dayan,Nissim Dayan
tt0146329,Two Off the Cuff,Bob Godfrey,Stan Hayward
tt0147216,Revenge by Lust,Mark Novick,Mark Novick
tt0147643,Unbowed,Nanci Rossov,Mildred Lewis
tt0148245,Göre Gábor,N/A,N/A
tt0148445,Magyarországtól a Marsig,Gyula Darab,N/A
tt0148462,Men Cry Bullets,Tamara Hernandez,Tamara Hernandez
tt0148812,She's No Angel,N/A,N/A
tt0148891,Six Faces of Samantha,Jack Genero,N/A
tt0148894,Six-Nine Love,N/A,N/A
tt0149026,Suzy's House,N/A,N/A
tt0149652,"Amerika, London, Párizs",Katalin Pázmándy,N/A
tt0150892,Her Great Price,Edwin Carewe,Florence Auer (story); June Mathis (scenario)
tt0151405,Lucerna,Karel Lamac,Alois Jirásek; Václav Wasserman; Bohumír Polách
tt0151805,El oficio de la sal,Walter Rojas,N/A
tt0151856,Our Construction,N/A,N/A
tt0151990,A Night in Tiberias,Hervé Bromberger,Hervé Bromberger; David Greenberg; Frédéric Grendel
tt0152074,Principe coronato cercasi per ricca ereditiera,Giovanni Grimaldi,Giovanni Grimaldi
tt0152252,The Times That Are,Pierre Perrault,N/A
tt0152443,The Silver Greyhound,Bannister Merwin,Bannister Merwin
tt0153032,This Year's Love,David Kane,David Kane
tt0153165,Tongues of Fire,Janus Rainer,N/A
tt0153292,"Trillium, Affectionately Yours",Brian R.R. Hebb,Brian R.R. Hebb
tt0153297,Triple Play 15: Cumming Together,N/A,N/A
tt0153534,\N,\N,\N
