tconst,directors,writers
tt0049149,nm0301145;nm0627561,nm0466552;nm0110981;nm0739677
tt0049158,nm0583302,nm0653091
tt0049392,nm0256586,nm0726189;nm0927481
tt0049431,nm0542649,nm0948634;nm0400914;nm0731518
tt0049465,nm0639280,nm0143114;nm0639280;nm0729605;nm0868760
tt0049603,nm0525725,nm0525725;nm0810631
tt0049775,nm0220131,nm0903198;nm0477850;nm0059342;nm0124440
tt0049864,nm0303120,nm0316044;nm0407794;nm0765026
tt0049961,nm0002134,nm0384613
tt0050155,nm0796923,nm0012227;nm0537784;nm0795730
tt0050296,nm0091430,nm0485704;nm0283331
tt0050302,nm0000265,nm0000265
tt0050583,nm0477893,nm0434987
tt0050723,nm0186381,nm0900134;nm0092015
tt0050778,nm0000339,nm0341458;nm0360221
tt0050816,nm0936823,nm0067801
tt0050934,nm0727211,nm0727211;nm0368566
tt0050980,nm0375092,nm0375092;nm0473158
tt0050992,nm0554924,nm0019295;nm2671372;nm0895881;nm0297414
tt0051199,nm0477893,nm0773688;nm0434987;nm0258314;nm0298835;nm0626810
tt0051211,nm0455839,nm0455839
tt0051407,nm0557840,nm0031196;nm0284503;nm0582706;nm0682592
tt0051490,nm0014829,nm0014829;nm0099670;nm0198722;nm0492053;nm0876072
tt0051492,nm0895857,nm0700950;nm0781250;nm0944015
tt0051755,nm0051649,nm0307311
tt0051851,nm0160108,nm0256467;nm0006621;nm0160108;nm0543733;nm0408488;nm0769249
tt0051857,nm0412235,nm0412235
tt0051899,nm0542649,nm0741627;nm0114904
tt0051971,nm0414672,nm0376683;nm0636494;nm0254690
tt0052042,nm0538032,nm0538032;nm0645138
tt0052605,nm0819806,nm0763053;nm0880493
tt0052652,nm0689659,nm0410165;nm0457070;nm0502643
tt0052812,nm0187769,nm0187769;nm0461119;nm0370152;nm0370252
tt0052918,nm0802862,nm0341178;nm0778818;nm0403595
tt0053188,nm0876440,nm0933850;nm0583699
tt0053435,nm0643945;nm0704841,nm0281291;nm0352341
tt0053562,nm0344958,nm0252554;nm0677467
tt0053797,nm0900891,nm1723220;nm0900891
tt0054285,nm0538032,nm0600379;nm0211457;nm0079748;nm0538032
tt0054332,nm0294758;nm0434443,nm0294758
tt0054363,nm0273178,nm0273178;nm0586263
tt0054463,nm0858873,nm0352555;nm0185280;nm1017813
tt0054492,nm0351842,nm0351842;nm0382178
tt0054660,nm0210322,nm0380569;nm0814956
tt0054703,nm0131460,nm0208013;nm0264420;nm0600001;nm0673773;nm0738856;nm0814242;nm0898812
tt0054910,nm0097887,nm0592599;nm0474801
tt0054918,nm0628149,nm0928108;nm0537784
tt0055383,nm0001811,nm0000636;nm0001811
tt0055944,nm0092012,nm0684826
tt0056015,nm0822555,nm0822555
tt0056085,nm0000406;nm0368871;nm0550892;nm0861703,nm0916139;nm0310775
tt0056110,nm0850895,nm0615080
tt0056223,nm0665993,nm0665993;nm0883558
tt0056831,nm0045663,nm0045663
tt0057111,nm0504496,nm0426442
tt0057166,nm0331482,nm0331482;nm0386750
tt0057171,nm0001120,nm0208370;nm0702898;nm0603179;nm0953790;nm0082303
tt0057225,nm0496746,nm0036433;nm0916139
tt0057431,nm0434177,nm0624924;nm0434177;nm0435878;nm6327749
tt0057534,nm0821805,nm0064092;nm0096396;nm0536743;nm0821805
tt0058122,nm0346087,nm0346087;nm0670806;nm0868771
tt0058132,nm0728699,nm0918300;nm0728699
tt0058313,nm0159201,nm0155568;nm0159201;nm0944680
tt0058454,nm0097092,\N
tt0058500,nm0002338,nm0056217;nm0607890
tt0058690,nm0282291,nm0377750;nm0282291
tt0058711,nm0476591,nm0073540;nm0699472
tt0058876,nm0437653;nm0803313,nm0803313
tt0059038,nm0409757;nm0944573,nm0731433;nm0409757
tt0059056,nm0292720,nm0448610;nm1391324
tt0059104,nm0546672,nm0801586;nm0277730;nm0717999;nm0936254
tt0059120,nm0800547,nm0162572;nm0800547
tt0059348,nm0006249,nm0593958;nm0006249
tt0059550,nm0301145,nm0301145;nm0467548;nm0806099
tt0059678,nm0836328,nm0533745;nm0165412;nm0030019
tt0059685,nm0928929,nm0521576;nm0782704
tt0059686,nm0880880,nm0403346
tt0060094,nm0850895,nm0700950;nm0781250;nm0002005
tt0060143,nm0049728,nm0049728;nm0744081
tt0060490,nm0806915,nm0001279;nm0531906
tt0060492,nm0187769,nm0668807
tt0060519,nm0043622,nm0321368;nm1242560
tt0060766,nm0397062,nm0352109;nm0397062
tt0060886,nm0652261,nm0652261;nm0802788;nm0622803;nm0883817
tt0060888,nm0765430,nm0765430
tt0061530,nm0302087,nm0302087;nm0304047;nm0846314
tt0061628,nm0320946,nm0139536;nm0211466;nm0639280
tt0061748,nm0799033,nm0682757;nm0118018;nm0042509
tt0062213,nm0159201,nm2222689
tt0062973,nm0000540,nm0951639;nm0000540
tt0063043,nm0687996,nm0297964;nm7603949;nm3184811
tt0063192,nm0638278,nm0414438;nm0638278
tt0063321,nm0296532,\N
tt0063344,nm0045169;nm0873992,\N
tt0063374,nm0757256,nm0800319
tt0063398,nm0464742,nm0527480
tt0063567,nm0781644,nm4011517;nm0781644;nm0829044
tt0063643,nm0856715,nm0388629;nm0193718;nm0447944
tt0063715,nm0000019;nm0001501;nm0671862,nm0000590;nm0671862;nm0184046;nm0001501;nm0939618;nm0099429;nm0000019;nm0953301
tt0064046,\N,\N
tt0064120,nm0815534,nm0815534
tt0064124,nm0255547,nm0257699;nm0529880
tt0064231,nm0867747,nm0924928;nm0404754;nm0587518;nm0330379
tt0064414,nm0050880,nm0031221;nm0050880
tt0064602,nm0015899,nm0015899;nm0337837
tt0064610,nm0782704,nm0858390;nm0782704
tt0064689,nm0672060,\N
tt0064893,nm0183307,nm0183307;nm0871272;nm0561705
tt0064934,nm0428572,nm0428572
tt0065062,nm0389219,nm0389219;nm1246250;nm1246253
tt0065130,nm0580814,nm0049621;nm0657212
tt0065870,nm0159201,nm0159201
tt0066056,nm0384342,nm0548296
tt0066811,nm0125111,nm0568539;nm0308163;nm0434794;nm0082391
tt0066909,nm0947272,nm0103932;nm0783802;nm0813537;nm0947272
tt0066963,nm0169662,nm0675126;nm0188462
tt0067012,nm0065303,nm0065303;nm0067139;nm0221991;nm0342278;nm0342303
tt0067093,nm0422484,nm0017833;nm0674135;nm0825524
tt0067274,nm0320833,nm0178785;nm0178787;nm0536249;nm0897505;nm0320833
tt0067365,nm0002759,nm0136585;nm0002759;nm0758097
tt0067369,nm0588965,nm0588965
tt0067477,nm0519193,nm0580309;nm0519193
tt0067506,nm0524551,nm0171534;nm0524551;nm0657201;nm0848519
tt0067634,nm0612322,nm0737234;nm0095838;nm1302358
tt0067796,nm0044780,nm0044780
tt0067800,nm0001603,nm0329051;nm0001603;nm0930684
tt0067922,nm0883465,nm0033066;nm0595225;nm0883465;nm0211742
tt0068502,nm0001928,nm0829044;nm0166018
tt0068711,nm0407307,nm0407307;nm0517119
tt0068944,nm0002815,nm0002815;nm0597604
tt0068980,nm0290956,nm0290956
tt0069670,nm0802239,\N
tt0069691,nm0051059,\N
tt0069775,nm0162030,nm0162030;nm0176420;nm0299295
tt0069995,nm0001676,nm0238898;nm0778819;nm0117068
tt0070051,nm0151653,nm0151653;nm0393250
tt0070183,nm0002089,nm0874450;nm0937721
tt0070271,nm0843948,nm0617816;nm0843947;nm0843948
tt0070437,nm0148115,nm0711905
tt0070601,nm0478176,\N
tt0070647,nm0718243,nm0304328;nm0955954
tt0071308,nm0945455,nm0644543;nm0847586
tt0071733,nm0001501,nm0001501;nm0595272
tt0071762,nm0002045,nm0756686;nm0503585
tt0072270,nm0226244,nm0226244;nm1363877
tt0072446,nm0906667,nm0721476;nm0906667
tt0072616,nm0543059;nm0835885,nm2870076;nm0543059;nm0835885
tt0072676,nm0525272,nm0438823;nm0439102
tt0073021,nm0879863,nm0406585;nm0897244
tt0073519,nm0049653,nm0049653;nm0198778;nm0893903
tt0073594,nm0002086,nm0208086;nm0366610;nm0002086
tt0074146,nm0320833,nm0179278;nm0302021;nm0320833;nm0682990;nm0897505
tt0074166,nm0062041;nm0874002,nm0885437
tt0074210,nm0302027,nm0446909;nm0537894;nm0443380;nm0296250
tt0074231,nm0500988,nm0500988;nm0882683
tt0074271,nm0739308,nm0597604
tt0074420,nm0369432,nm0369432;nm0843861;nm0955109
tt0074700,nm0826642,nm0006872;nm0826642;nm0898812
tt0074883,nm0775447,nm0775447;nm0903825
tt0075018,nm0582750,nm0582750
tt0075019,nm0318150,nm0121254;nm0367838
tt0075210,nm0381481;nm0476267,nm0476267;nm4920212
tt0075243,nm0243921,nm0243921
tt0076029,nm0000273,nm0458228
tt0076339,nm0488574,nm0488574
tt0076415,nm0641714,nm0641714;nm0174832;nm0783398
tt0076552,nm0525699;nm0957434,nm0276763
tt0076660,nm0159201,nm0159201;nm0473325
tt0076687,nm0267346,\N
tt0076688,nm0304604,nm0121486;nm0264669;nm0304604;nm8968236
tt0076873,nm0553916,nm0553916;nm0587531;nm0296658
tt0077581,nm0633950,nm0633950;nm2679973
tt0077831,nm0538353,nm0538353;nm0874676
tt0077875,nm0437731,\N
tt0077940,nm0080580,nm0493994
tt0078023,nm0227460,nm0227460;nm2570109
tt0078026,nm0050853,nm0050853;nm0046987
tt0078205,nm0788461,nm0788461
tt0078244,nm0525331,nm0525331;nm0393250
tt0078284,nm0335883,nm0229638;nm0877634;nm0909838
tt0078928,nm0359386,nm0943989
tt0079094,nm0367431,nm0843515;nm0109300
tt0079098,nm0784019,nm0149814;nm0784019
tt0079224,nm0488574,nm0006774
tt0079571,nm0462030,nm0408353;nm1175738
tt0079648,nm0620238,nm0875321;nm0006782;nm0423297;nm0288489
tt0079815,nm0046478,nm0046478
tt0080072,nm0541298,nm0337387
tt0080416,nm0557621,nm0106943;nm0251504;nm0557621
tt0080451,nm0360919,nm0663593
tt0080492,nm0908055,nm0940125;nm0139591
tt0080646,nm0255208,nm0556240;nm0255208;nm0358614
tt0080660,nm0095605,nm0255410
tt0080698,nm0033244,nm0033244;nm0467851;nm1847930
tt0080773,nm0516360,nm0385632;nm0516360
tt0081053,nm0275908,\N
tt0081267,nm0341925,nm0042972
tt0082370,nm0000076,nm0000076;nm0771535;nm0042159
tt0082422,nm0855446,nm0042213;nm0855446;nm0457220
tt0082763,nm0788553,nm0788553;nm0792624;nm0783334
tt0082871,nm0245465,nm0245465
tt0082894,nm0006889,nm0693259
tt0083046,nm0013706,nm0013706;nm0145626;nm0613939
tt0083708,nm0628719,nm3849485;nm0939182;nm2650758;nm0354008
tt0083719,nm0090625,nm0090625
tt0084013,nm0032118,nm0941173;nm0032118
tt0084075,nm0408033,nm0594666
tt0084545,nm0409723,nm0409723;nm0290050
tt0084675,nm0000570,nm0325743
tt0084709,nm0660873,nm0055726;nm0408488;nm0769249
tt0084727,nm0393470,nm0343126
tt0084959,nm0524621,nm0176420;nm0487878
tt0085220,nm0161621,nm0539263;nm0897810
tt0085496,nm0000264,nm0000264
tt0085625,nm0526874,nm0526874;nm0266094
tt0085835,nm0087515;nm0127276,nm9072446;nm0001330
tt0086088,nm0162030,nm0162030;nm0553916;nm0587531
tt0086525,nm0004838,nm0485229;nm0186988
tt0086930,nm0454199,nm0454199
tt0087368,nm0691289,nm0563400
tt0087431,nm0844541,nm0844541
tt0087442,nm0471626,nm0471626
tt0087486,nm0881355,nm0506844;nm1127102;nm0881355
tt0087493,nm0227661,nm0036313;nm0227661
tt0087636,nm0206646,nm0206646
tt0087751,nm0000788,nm0638913
tt0087795,nm0465034,nm0486717;nm0505415;nm0651822;nm0465034
tt0088196,nm0068385,nm0564625
tt0088371,nm0468454,nm0468454;nm0439891
tt0088717,nm0895518,nm0895518
tt0088785,nm0832748,nm0832748
tt0088834,nm0651538,\N
tt0088902,nm0324660,nm0324660
tt0088981,nm0007139,nm3064334
tt0089623,nm0661799,nm1121397
tt0089774,nm0554556,nm0554556
tt0089839,nm0101055,nm0593370;nm0781896;nm0921023
tt0090001,nm0950970,nm0009117
tt0090011,nm0161205,nm0874683
tt0090205,nm0282214,nm0282214;nm0342003;nm0442704
tt0090351,nm0350574;nm0434035,nm0305030;nm0350574;nm0434035;nm0678878
tt0090645,nm0363030,\N
tt0090689,nm0284642,nm0051695;nm0136611;nm0284642;nm0488613;nm0806256
tt0091389,nm0753541,nm1406706;nm0464536
